"filename", "language", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"/Users/marcel/dev/devakademie/projekte/git/join/script/addTask.js", "JavaScript", 515, 0, 82, 79, 676
"/Users/marcel/dev/devakademie/projekte/git/join/script/contacts.js", "JavaScript", 233, 0, 118, 113, 464
"/Users/marcel/dev/devakademie/projekte/git/join/script/drag_and_drop.js", "JavaScript", 361, 0, 222, 70, 653
"/Users/marcel/dev/devakademie/projekte/git/join/script/html.js", "JavaScript", 190, 0, 90, 27, 307
"/Users/marcel/dev/devakademie/projekte/git/join/script/login.js", "JavaScript", 343, 0, 164, 109, 616
"/Users/marcel/dev/devakademie/projekte/git/join/script/mini_backend.js", "JavaScript", 79, 0, 7, 23, 109
"/Users/marcel/dev/devakademie/projekte/git/join/script/search.js", "JavaScript", 18, 0, 0, 3, 21
"/Users/marcel/dev/devakademie/projekte/git/join/script/summary.js", "JavaScript", 180, 0, 95, 67, 342
"/Users/marcel/dev/devakademie/projekte/git/join/script/tasks.json", "JSON with Comments", 0, 72, 0, 0, 72
"/Users/marcel/dev/devakademie/projekte/git/join/script/templates.js", "JavaScript", 25, 0, 3, 6, 34
"/Users/marcel/dev/devakademie/projekte/git/join/script/test.js", "JavaScript", 12, 0, 0, 17, 29
"Total", "-", 1956, 72, 781, 514, 3323